RunId,iteration,Step,width,height,density,minority_pc,homophily,altruism,policy,follow_policy,perc_happy,segregation
0,0,20,50,50,0.75,0.4,3,0.3,random,0.0,1.0,0.6470744680851064
2,0,37,50,50,0.75,0.4,3,0.3,random,0.2,1.0,0.6559011164274322
3,0,45,50,50,0.75,0.4,3,0.3,random,0.3,1.0,0.6681404072883173
1,0,25,50,50,0.75,0.4,3,0.3,random,0.1,1.0,0.6435483870967742
4,0,23,50,50,0.75,0.4,3,0.3,random,0.4,1.0,0.652785216925549
6,0,22,50,50,0.75,0.4,3,0.3,random,0.6,1.0,0.6582041688936398
7,0,28,50,50,0.75,0.4,3,0.3,random,0.7,1.0,0.6519209956709957
5,0,29,50,50,0.75,0.4,3,0.3,random,0.5,1.0,0.6428974069898534
9,0,24,50,50,0.75,0.4,3,0.3,random,0.9,1.0,0.6519581545064378
8,0,30,50,50,0.75,0.4,3,0.3,random,0.8,1.0,0.6441489361702127
11,0,19,50,50,0.75,0.4,3,0.3,distance_relevance,0.0,1.0,0.6440116587175411
10,0,35,50,50,0.75,0.4,3,0.3,random,1.0,1.0,0.6493018259935553
12,0,73,50,50,0.75,0.4,3,0.3,distance_relevance,0.1,1.0,0.6727370112479915
13,0,39,50,50,0.75,0.4,3,0.3,distance_relevance,0.2,1.0,0.6459216101694916
14,0,63,50,50,0.75,0.4,3,0.3,distance_relevance,0.3,1.0,0.6484710300429185
15,0,72,50,50,0.75,0.4,3,0.3,distance_relevance,0.4,1.0,0.6374127750939346
16,0,49,50,50,0.75,0.4,3,0.3,distance_relevance,0.5,1.0,0.6155394524959742
17,0,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.6,0.9989468141126909,0.6124275934702474
19,0,79,50,50,0.75,0.4,3,0.3,distance_relevance,0.8,1.0,0.63782562466773
18,0,76,50,50,0.75,0.4,3,0.3,distance_relevance,0.7,1.0,0.6279904306220095
20,0,95,50,50,0.75,0.4,3,0.3,distance_relevance,0.9,1.0,0.6289459604066345
21,0,59,50,50,0.75,0.4,3,0.3,distance_relevance,1.0,1.0,0.6211714132186996
22,0,27,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.0,1.0,0.6586151368760065
23,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.1,0.9930703624733476,0.6272654584221748
24,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.2,0.9905511811023622,0.6259842519685039
25,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.3,0.9804028307022319,0.6247958628198149
26,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.4,0.9787120808940926,0.6321181479510378
27,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.5,0.9909139497594869,0.6346873329770176
28,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.6,0.9839657936932121,0.6374933190807055
29,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.7,0.9752761704366123,0.6240136770120989
30,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.8,0.9681425485961123,0.603536717062635
33,0,24,50,50,0.75,0.4,3,0.3,minimum_improvement,0.0,1.0,0.6568993074054342
31,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.9,0.9580492920818039,0.6050078657577347
34,0,31,50,50,0.75,0.4,3,0.3,minimum_improvement,0.1,1.0,0.656181917211329
32,0,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,1.0,0.9711846318036286,0.608991462113127
35,0,25,50,50,0.75,0.4,3,0.3,minimum_improvement,0.2,1.0,0.654392072844135
36,0,23,50,50,0.75,0.4,3,0.3,minimum_improvement,0.3,1.0,0.6340425531914894
38,0,32,50,50,0.75,0.4,3,0.3,minimum_improvement,0.5,1.0,0.6332254584681769
37,0,36,50,50,0.75,0.4,3,0.3,minimum_improvement,0.4,1.0,0.6290628385698809
39,0,24,50,50,0.75,0.4,3,0.3,minimum_improvement,0.6,1.0,0.606513614522157
40,0,26,50,50,0.75,0.4,3,0.3,minimum_improvement,0.7,1.0,0.6055585248530198
41,0,19,50,50,0.75,0.4,3,0.3,minimum_improvement,0.8,1.0,0.5910761154855643
42,0,27,50,50,0.75,0.4,3,0.3,minimum_improvement,0.9,1.0,0.595835557928457
43,0,16,50,50,0.75,0.4,3,0.3,minimum_improvement,1.0,1.0,0.581331592689295
44,0,22,50,50,0.75,0.4,3,0.3,maximum_improvement,0.0,1.0,0.6596225412014886
45,0,24,50,50,0.75,0.4,3,0.3,maximum_improvement,0.1,1.0,0.6567406605305901
46,0,19,50,50,0.75,0.4,3,0.3,maximum_improvement,0.2,1.0,0.6677299308878256
47,0,28,50,50,0.75,0.4,3,0.3,maximum_improvement,0.3,1.0,0.676829268292683
48,0,32,50,50,0.75,0.4,3,0.3,maximum_improvement,0.4,1.0,0.7013286334056399
49,0,29,50,50,0.75,0.4,3,0.3,maximum_improvement,0.5,1.0,0.716
50,0,36,50,50,0.75,0.4,3,0.3,maximum_improvement,0.6,1.0,0.7022799575821845
51,0,34,50,50,0.75,0.4,3,0.3,maximum_improvement,0.7,1.0,0.72094558901215
52,0,23,50,50,0.75,0.4,3,0.3,maximum_improvement,0.8,1.0,0.7090229578216765
53,0,19,50,50,0.75,0.4,3,0.3,maximum_improvement,0.9,1.0,0.7227615965480043
54,0,37,50,50,0.75,0.4,3,0.3,maximum_improvement,1.0,1.0,0.708736559139785
55,0,26,50,50,0.75,0.4,3,0.3,recently_emptied,0.0,1.0,0.6459913326110509
56,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.1,0.9973684210526316,0.6438157894736842
57,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.2,0.9950819672131147,0.6534153005464481
58,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.3,0.995682676740421,0.6574473826227739
59,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.4,0.9859989229940764,0.6455304254173398
60,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.5,0.9862215156332803,0.6494435612082671
61,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.6,0.9873150105708245,0.6511627906976745
62,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.7,0.9825581395348837,0.6523520084566596
63,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.8,0.9881465517241379,0.6557112068965517
66,0,34,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.0,1.0,0.6741527703066165
64,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,0.9,0.9817792068595927,0.6570203644158628
67,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.1,0.9973161567364466,0.6336553945249598
65,0,100,50,50,0.75,0.4,3,0.3,recently_emptied,1.0,0.9783068783068783,0.669973544973545
68,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.2,0.9946033459255261,0.6570426335671884
69,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.3,0.9952731092436975,0.6362920168067226
70,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.4,0.9925452609158679,0.6502928647497338
71,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.5,0.9897574123989218,0.6238544474393531
72,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.6,0.9842767295597484,0.6373165618448637
73,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.7,0.9843497031840259,0.6490825688073395
74,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.8,0.9832372970141435,0.6481141959140911
77,0,21,50,50,0.75,0.4,3,0.3,different_neighborhood,0.0,1.0,0.6601623886851755
75,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,0.9,0.9832020997375328,0.6439632545931758
78,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,0.1,0.9994689325544344,0.6552044609665427
76,0,100,50,50,0.75,0.4,3,0.3,similar_neighborhood,1.0,0.9787001638448936,0.6331239759694156
79,0,42,50,50,0.75,0.4,3,0.3,different_neighborhood,0.2,1.0,0.6399521531100478
80,0,60,50,50,0.75,0.4,3,0.3,different_neighborhood,0.3,1.0,0.6620937666489078
81,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,0.4,0.9978471474703983,0.658772874058127
82,0,29,50,50,0.75,0.4,3,0.3,different_neighborhood,0.5,1.0,0.6578666666666667
83,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,0.6,0.9967897271268058,0.668673087212413
84,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,0.7,0.9983905579399142,0.6646995708154506
86,0,31,50,50,0.75,0.4,3,0.3,different_neighborhood,0.9,1.0,0.6748569942797712
85,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,0.8,0.9989183342347214,0.6746890210924824
87,0,100,50,50,0.75,0.4,3,0.3,different_neighborhood,1.0,0.9978858350951374,0.6831395348837209
88,1,34,50,50,0.75,0.4,3,0.3,random,0.0,1.0,0.6586206896551724
90,1,27,50,50,0.75,0.4,3,0.3,random,0.2,1.0,0.6593551797040169
89,1,32,50,50,0.75,0.4,3,0.3,random,0.1,1.0,0.6712962962962963
91,1,32,50,50,0.75,0.4,3,0.3,random,0.3,1.0,0.652599142550911
92,1,62,50,50,0.75,0.4,3,0.3,random,0.4,1.0,0.6484921917070544
93,1,19,50,50,0.75,0.4,3,0.3,random,0.5,1.0,0.6441429339065019
94,1,19,50,50,0.75,0.4,3,0.3,random,0.6,1.0,0.6420757737459979
95,1,34,50,50,0.75,0.4,3,0.3,random,0.7,1.0,0.6563335114911811
96,1,44,50,50,0.75,0.4,3,0.3,random,0.8,1.0,0.64709797657082
97,1,32,50,50,0.75,0.4,3,0.3,random,0.9,1.0,0.6464036500268384
98,1,31,50,50,0.75,0.4,3,0.3,random,1.0,1.0,0.6503739316239316
99,1,18,50,50,0.75,0.4,3,0.3,distance_relevance,0.0,1.0,0.6625864821713677
100,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.1,0.9989567031820553,0.6408450704225352
101,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.2,0.9989241527703067,0.6438945669714901
102,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.3,0.9994711792702274,0.6431782125859333
103,1,73,50,50,0.75,0.4,3,0.3,distance_relevance,0.4,1.0,0.6280327004219409
104,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.5,0.9984059511158342,0.6289851222104145
105,1,99,50,50,0.75,0.4,3,0.3,distance_relevance,0.6,1.0,0.6407475169890224
106,1,46,50,50,0.75,0.4,3,0.3,distance_relevance,0.7,1.0,0.6227051835853131
107,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.8,0.9983982915109451,0.6211959423384944
109,1,45,50,50,0.75,0.4,3,0.3,distance_relevance,1.0,1.0,0.6239384288747346
108,1,100,50,50,0.75,0.4,3,0.3,distance_relevance,0.9,0.9994708994708995,0.6294973544973544
110,1,33,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.0,1.0,0.6576588810429115
111,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.1,0.994092373791622,0.6487647690655209
112,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.2,0.9893219434063001,0.6592365189535504
113,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.3,0.9978308026030369,0.649267895878525
114,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.4,0.9721478307445099,0.6301553294054633
115,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.5,0.9766431287343835,0.614204236827811
116,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.6,0.9900314795383001,0.6332633788037776
117,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.7,0.9784437434279706,0.6280231335436383
121,1,32,50,50,0.75,0.4,3,0.3,minimum_improvement,0.0,1.0,0.6562334217506631
119,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.9,0.990990990990991,0.6328828828828829
118,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,0.8,0.9635779325120514,0.6136850562399572
122,1,20,50,50,0.75,0.4,3,0.3,minimum_improvement,0.1,1.0,0.6469656992084433
120,1,100,50,50,0.75,0.4,3,0.3,rich_neighborhood,1.0,0.9738527214514408,0.6191302027748132
123,1,17,50,50,0.75,0.4,3,0.3,minimum_improvement,0.2,1.0,0.6380636604774536
124,1,28,50,50,0.75,0.4,3,0.3,minimum_improvement,0.3,1.0,0.6382135306553911
125,1,22,50,50,0.75,0.4,3,0.3,minimum_improvement,0.4,1.0,0.6289851222104145
127,1,32,50,50,0.75,0.4,3,0.3,minimum_improvement,0.6,1.0,0.6149732620320856
126,1,25,50,50,0.75,0.4,3,0.3,minimum_improvement,0.5,1.0,0.6204978813559322
128,1,21,50,50,0.75,0.4,3,0.3,minimum_improvement,0.7,1.0,0.6146112600536193
129,1,23,50,50,0.75,0.4,3,0.3,minimum_improvement,0.8,1.0,0.6023024594453166
130,1,21,50,50,0.75,0.4,3,0.3,minimum_improvement,0.9,1.0,0.5931553911205074
131,1,22,50,50,0.75,0.4,3,0.3,minimum_improvement,1.0,1.0,0.5900105429625725
132,1,25,50,50,0.75,0.4,3,0.3,maximum_improvement,0.0,1.0,0.637847965738758
133,1,52,50,50,0.75,0.4,3,0.3,maximum_improvement,0.1,1.0,0.6437994722955145
135,1,19,50,50,0.75,0.4,3,0.3,maximum_improvement,0.3,1.0,0.6711436170212766
134,1,27,50,50,0.75,0.4,3,0.3,maximum_improvement,0.2,1.0,0.6580802603036876
136,1,33,50,50,0.75,0.4,3,0.3,maximum_improvement,0.4,1.0,0.6939978563772776
138,1,25,50,50,0.75,0.4,3,0.3,maximum_improvement,0.6,1.0,0.6924479166666667
137,1,21,50,50,0.75,0.4,3,0.3,maximum_improvement,0.5,1.0,0.693324250681199
139,1,31,50,50,0.75,0.4,3,0.3,maximum_improvement,0.7,1.0,0.7073878627968337
