RunId,iteration,Step,width,height,density,minority_pc,homophily,altruism,policy,follow_policy,perc_happy,segregation
31,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.9,0.9581993569131833,0.5854769560557342
66,0,42,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.0,1.0,0.659891248058001
57,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.2,0.9941207910208445,0.6553981827899519
58,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.3,0.9923747276688453,0.6435185185185185
60,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.5,0.9924650161463939,0.6531216361679225
59,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.4,0.9869178440607012,0.6701988487702774
67,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.1,0.9958613554061045,0.6615364718054837
62,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.7,0.9870619946091644,0.6505390835579515
68,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.2,0.9925373134328358,0.6429904051172708
61,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.6,0.9786324786324786,0.640090811965812
69,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.3,0.9914438502673797,0.6417112299465241
63,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.8,0.9739084132055378,0.6546858359957402
70,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.4,0.9855460385438972,0.6433351177730193
71,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.5,0.988835725677831,0.6412812333864966
72,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.6,0.9866950505588079,0.6374401277275147
77,0,24,50,50,0.75,0.4,3,0.0,different_neighborhood,0.0,1.0,0.6780785562632696
73,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.7,0.9819245082402978,0.6335725677830941
78,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.1,0.9989171629669734,0.6551164049810504
79,0,28,50,50,0.75,0.4,3,0.0,different_neighborhood,0.2,1.0,0.6579989440337909
74,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.8,0.9770666666666666,0.6252
80,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.3,0.9951923076923077,0.6558493589743589
81,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.4,0.9968119022316685,0.6700318809776833
82,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.5,0.9972692517749864,0.648416166029492
84,0,76,50,50,0.75,0.4,3,0.0,different_neighborhood,0.7,1.0,0.6718015665796344
83,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.6,0.9968421052631579,0.6747368421052632
85,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.8,0.9994638069705094,0.6876675603217158
75,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.9,0.9692390717754992,0.6098219104155423
87,0,73,50,50,0.75,0.4,3,0.0,different_neighborhood,1.0,1.0,0.7042386609071274
88,0,24,50,50,0.75,0.4,3,0.0,similar_history_cell,0.0,1.0,0.6595083738519719
